study_hours,sleep_hours,screen_time,gaming_hours,attendance_percent,stress_level,marks
0.0,9.47,4.92,4.93,100.0,3.8,55.55
6.14,6.63,9.49,2.78,81.78,4.4,80.94
4.67,7.86,3.71,7.14,97.17,6.2,69.77
3.9,7.47,5.56,3.29,100.0,7.4,77.87
4.68,10.0,4.96,2.88,94.98,4.7,71.05
0.52,8.68,7.97,1.88,80.68,4.1,54.77
4.06,6.81,11.32,2.77,89.04,5.0,55.64
5.21,5.57,3.67,2.2,84.76,6.2,87.58
7.46,4.59,3.78,3.92,75.96,2.1,100.0
3.46,7.31,7.61,4.41,88.24,1.0,63.19
2.88,5.87,6.7,0.93,73.21,3.9,55.31
3.5,4.87,9.62,0.0,96.88,2.6,72.42
6.33,6.03,6.46,0.0,80.35,4.0,80.36
5.16,5.38,4.1,3.52,87.01,4.7,73.96
3.44,9.53,6.48,0.29,87.83,4.1,74.22
5.53,8.32,7.77,0.0,82.41,7.9,58.46
4.69,6.99,7.05,3.28,90.87,5.7,69.39
6.44,9.22,6.27,7.49,80.25,5.6,73.01
3.1,7.12,7.67,2.49,93.71,6.2,55.63
3.84,5.71,7.92,4.18,71.54,2.7,73.0
3.72,9.28,8.46,2.66,86.26,7.1,53.03
1.57,7.81,6.62,2.3,100.0,4.8,64.17
5.09,5.44,4.58,4.34,75.0,6.3,64.45
5.02,6.71,5.37,1.92,78.22,2.9,75.9
4.51,5.69,8.02,3.03,90.14,1.9,78.33
4.03,4.93,2.96,3.14,86.8,6.6,67.64
1.67,8.39,5.92,1.16,88.51,5.8,62.28
3.66,9.86,4.02,4.48,89.89,3.2,84.61
3.81,4.9,5.07,2.15,91.35,3.3,66.6
2.9,7.84,8.2,0.99,96.1,7.3,54.4
4.18,6.02,5.48,3.57,89.1,2.6,63.5
5.31,6.27,5.12,0.7,82.59,8.3,64.21
8.27,6.11,1.6,2.56,91.73,3.2,100.0
4.85,5.7,6.87,2.48,100.0,6.3,79.63
5.02,7.07,6.61,4.67,83.67,4.3,60.95
4.35,5.75,10.41,3.45,75.25,6.2,44.92
0.66,7.41,4.23,2.45,96.07,3.9,59.75
4.45,6.92,5.55,4.14,83.8,4.7,74.04
4.62,6.64,5.62,5.28,63.27,5.1,68.12
9.43,5.64,8.94,3.62,93.47,3.0,95.75
4.12,6.13,4.76,2.52,79.65,6.5,63.76
5.1,8.13,5.7,0.0,84.09,4.0,84.83
4.43,7.75,6.52,0.37,88.32,4.5,76.13
2.16,5.53,5.47,1.89,86.9,3.0,42.18
6.79,7.15,3.88,1.28,92.09,1.0,97.23
6.0,8.13,5.49,2.13,80.65,4.6,76.58
6.08,4.5,7.68,2.61,90.13,9.8,65.6
2.68,7.82,2.43,3.56,82.4,6.6,86.02
7.31,6.01,5.33,2.36,92.39,5.0,91.51
1.7,7.86,3.25,3.47,91.15,4.5,58.62
5.67,5.86,7.99,2.63,75.65,5.0,78.03
8.88,4.29,1.19,0.0,95.86,6.1,100.0
2.52,4.56,3.6,0.62,79.64,2.6,67.09
3.37,7.07,5.94,2.21,93.08,7.2,66.79
4.7,7.39,8.91,0.08,88.67,6.4,85.83
3.49,5.64,4.84,3.7,100.0,6.4,53.63
1.4,7.96,3.61,5.56,82.77,5.9,55.8
4.64,4.51,9.7,4.94,81.51,5.0,50.17
2.38,6.9,1.38,2.07,84.81,6.3,67.21
5.45,5.18,0.0,5.48,81.97,6.2,68.15
2.66,6.02,6.1,2.8,93.0,4.3,57.18
7.6,7.07,3.74,1.83,68.84,3.9,90.63
2.93,5.71,2.45,1.27,74.46,5.2,71.11
3.86,6.42,6.77,1.9,74.32,8.1,64.57
6.13,8.51,5.61,1.72,94.5,2.5,82.19
2.04,6.13,3.59,2.84,100.0,2.1,67.01
4.95,8.25,1.8,2.82,83.96,5.3,75.61
7.11,5.31,7.18,2.51,83.31,5.1,70.91
1.29,7.79,6.63,3.37,85.7,5.3,49.02
4.87,9.16,4.75,4.88,96.62,5.5,75.43
5.02,3.29,9.62,4.4,75.73,4.6,77.45
6.06,5.8,2.32,0.0,87.38,8.0,84.48
2.03,7.87,1.19,0.0,94.75,1.8,65.44
1.86,6.7,3.27,4.37,90.01,3.3,56.2
5.54,7.56,4.89,0.0,86.9,4.8,92.01
5.09,6.09,5.61,2.05,95.01,1.7,99.16
5.0,7.13,4.4,0.16,57.97,4.6,62.09
5.19,6.77,5.88,0.0,91.78,8.3,57.54
3.14,8.75,1.87,3.58,78.46,5.0,84.81
4.96,7.38,8.61,4.02,66.69,5.5,67.35
5.09,7.51,4.79,1.35,90.11,2.5,77.84
3.07,6.38,7.79,0.0,98.74,3.8,70.99
8.23,6.27,5.86,1.41,83.63,4.2,73.59
5.45,6.35,6.14,3.28,94.53,4.4,77.44
2.12,7.59,6.42,0.0,100.0,7.6,60.75
5.81,6.37,6.12,2.87,98.15,6.1,84.79
2.55,7.43,6.61,2.47,100.0,2.8,58.63
6.07,10.0,8.32,3.66,92.42,5.5,82.75
6.82,8.31,5.49,2.74,85.75,6.0,78.75
2.86,6.51,6.77,0.55,68.98,7.3,55.63
6.43,8.8,4.78,4.89,82.54,8.2,71.15
5.33,6.39,8.6,2.18,76.57,3.0,70.32
6.14,3.94,3.31,2.45,100.0,3.4,77.13
8.29,5.49,9.5,0.63,83.24,2.5,97.61
4.01,4.19,4.9,1.61,86.23,4.5,73.21
2.99,6.47,1.42,0.73,90.51,5.9,67.25
2.72,7.03,5.32,2.15,85.44,7.0,58.26
2.87,9.51,3.3,5.92,100.0,4.8,57.9
4.35,7.49,7.1,0.0,78.77,4.4,70.04
5.18,6.67,3.37,0.0,86.95,5.3,80.76
5.05,8.24,3.88,5.44,77.58,3.3,99.27
6.15,3.68,0.28,2.08,71.8,9.2,63.49
4.53,7.35,3.87,1.16,78.88,1.8,93.59
7.41,8.16,0.0,4.58,84.63,5.4,100.0
3.97,4.78,1.04,1.29,80.71,9.0,65.57
9.94,8.72,6.9,6.15,78.08,5.0,100.0
5.75,7.51,6.96,3.86,70.94,4.6,77.37
2.79,6.38,6.06,1.52,84.17,4.3,64.92
2.36,7.95,2.58,6.81,69.95,4.6,57.28
5.46,10.0,4.88,1.29,92.6,7.7,91.74
4.05,7.27,4.99,3.98,85.82,1.0,85.53
5.93,7.37,2.1,3.1,70.42,8.1,71.38
5.45,6.31,8.76,5.1,81.91,2.2,62.56
4.35,5.73,7.19,5.62,77.48,4.5,59.98
2.81,8.25,4.45,2.56,88.19,4.1,61.54
1.47,5.72,5.07,0.99,98.4,6.2,53.28
3.61,7.11,5.52,3.42,66.25,1.8,78.01
6.21,6.28,0.0,1.14,86.15,5.9,85.19
4.93,7.72,4.38,6.53,83.4,9.0,63.84
2.01,7.5,3.3,2.77,91.71,2.3,68.04
4.85,8.56,2.5,1.77,87.13,5.4,88.78
5.27,6.23,4.3,2.87,77.48,3.7,59.37
2.73,6.6,9.49,0.0,81.81,5.9,50.15
4.81,5.53,6.6,0.56,77.04,5.0,71.36
4.62,6.33,3.57,4.9,95.76,3.7,85.45
2.21,7.57,6.43,1.19,85.21,6.0,53.5
5.22,8.14,8.5,0.41,100.0,8.6,57.1
5.62,5.62,7.31,3.57,84.39,4.6,77.31
6.67,8.3,5.15,4.87,77.92,6.4,75.66
6.61,9.03,3.38,3.94,69.86,2.4,82.54
1.74,7.62,6.75,4.49,66.97,3.1,47.42
2.62,9.82,5.98,0.99,69.16,5.9,60.68
5.53,5.84,7.24,0.0,87.67,8.0,65.76
5.53,5.13,6.59,5.5,90.09,5.7,50.9
5.53,4.33,7.62,1.85,69.19,4.4,75.45
12.0,9.24,3.66,2.0,93.95,5.0,100.0
5.64,7.98,8.29,5.16,80.17,2.5,82.43
6.77,6.92,5.49,3.61,86.47,6.2,72.66
6.41,7.42,10.19,3.41,100.0,6.8,73.77
5.8,5.31,3.28,6.83,93.97,4.1,77.88
3.87,10.0,9.34,1.21,82.31,4.1,75.88
6.02,7.19,5.49,4.36,76.09,5.5,81.53
2.95,7.16,3.37,2.61,63.48,4.1,57.43
4.03,8.09,3.79,3.04,77.81,4.9,72.49
3.53,7.72,4.2,5.56,82.89,9.2,60.49
4.66,7.34,6.06,3.52,75.13,4.5,82.01
9.13,5.81,6.31,3.58,83.69,4.3,100.0
0.77,7.71,3.57,4.65,85.77,3.7,60.14
5.87,9.82,4.94,1.77,82.75,6.5,84.59
1.27,9.02,10.36,0.82,78.5,4.6,61.87
3.56,9.39,9.32,0.41,86.69,3.7,73.86
6.68,6.23,6.09,0.0,89.42,7.6,74.11
4.63,5.52,5.1,6.61,74.1,7.8,68.59
2.34,6.81,5.3,0.29,99.11,3.8,72.19
3.07,7.08,6.53,2.06,84.01,1.3,66.04
5.86,8.64,2.44,1.95,85.19,7.0,80.61
3.04,4.46,4.36,3.11,92.08,3.6,65.41
4.93,9.29,0.83,4.13,87.33,6.6,84.99
4.59,6.76,6.0,4.22,94.53,1.1,80.38
3.2,6.36,6.62,1.33,87.87,6.8,61.87
8.79,5.48,3.79,2.17,78.88,2.6,100.0
5.77,4.52,8.93,3.07,88.62,6.5,74.93
0.45,8.23,1.94,2.0,73.56,5.0,55.04
4.87,7.11,1.34,5.71,86.09,3.1,88.15
3.18,5.07,5.56,3.48,84.67,4.2,51.97
6.2,5.06,7.62,3.97,82.92,6.4,73.18
2.91,6.5,9.21,3.83,83.71,5.2,67.87
4.27,9.5,3.85,4.85,66.18,6.2,67.19
5.51,6.61,7.7,2.86,79.51,9.0,57.52
6.23,4.75,4.9,0.0,85.93,1.9,82.75
2.1,6.63,4.57,3.3,86.6,8.2,42.18
3.83,6.59,7.21,1.2,74.72,5.2,57.17
3.55,3.0,6.63,1.44,97.66,3.2,60.79
3.19,6.92,1.06,3.67,76.34,2.3,61.35
8.03,6.65,8.69,4.98,94.69,4.6,87.3
5.31,8.04,8.45,2.54,89.27,6.8,78.61
1.98,9.77,3.44,3.12,78.54,4.7,56.48
6.34,8.69,5.99,5.9,100.0,8.0,90.43
8.74,6.6,6.24,2.98,73.06,2.1,100.0
6.56,5.34,5.65,7.7,94.19,5.0,84.48
1.46,10.0,3.62,3.63,95.01,2.5,62.72
3.53,7.09,3.32,0.0,78.29,5.7,76.43
7.03,7.02,4.94,4.01,98.92,6.8,76.53
3.08,6.96,7.93,3.26,82.5,4.2,66.93
5.39,7.3,6.36,5.08,87.89,1.0,83.24
6.05,6.78,4.07,3.85,87.6,5.4,85.29
2.65,6.14,6.93,2.22,83.66,5.9,45.67
4.38,6.18,0.0,0.05,93.11,5.8,73.43
0.0,6.95,7.87,2.08,92.93,7.5,43.02
2.45,6.18,0.65,0.8,67.51,2.9,60.34
3.99,5.93,4.09,1.34,98.04,6.4,73.68
2.0,7.16,2.2,3.68,68.38,7.4,41.6
7.76,6.62,1.76,5.84,95.33,1.4,100.0
1.64,9.26,7.9,3.29,96.27,5.6,45.66
3.62,3.02,3.83,0.11,74.09,4.0,68.14
4.76,8.64,5.87,3.39,80.89,4.8,79.49
7.38,8.87,4.88,4.89,73.94,5.7,81.66
1.63,3.89,6.19,1.28,82.85,4.0,54.9
6.83,6.49,5.19,2.23,81.92,3.6,89.63
4.52,6.44,1.79,2.53,92.8,5.1,73.4
2.54,4.89,7.49,0.93,98.1,2.8,53.55
5.42,5.83,3.77,3.8,98.96,2.8,67.44
4.9,5.33,1.11,2.26,79.38,6.4,76.64
3.3,9.63,3.93,3.34,82.91,2.7,62.81
4.64,8.4,8.75,0.73,68.17,6.3,67.38
3.73,8.91,7.13,1.63,76.94,5.9,63.98
4.73,8.08,4.13,3.94,94.65,1.5,89.87
5.82,5.31,4.13,1.75,100.0,3.6,82.56
7.67,6.21,4.2,5.95,72.66,7.4,77.14
2.02,7.73,10.19,1.7,79.08,3.0,60.88
8.77,5.17,5.95,2.95,84.74,4.1,96.94
0.6,8.07,6.08,4.37,87.8,5.9,48.6
4.2,6.64,7.58,0.0,76.9,6.6,68.1
5.68,6.44,5.6,0.0,89.24,4.5,70.11
5.06,8.07,4.35,0.0,80.26,3.8,89.47
3.25,7.67,4.51,5.03,84.86,7.8,63.25
4.08,6.46,4.82,1.4,90.46,8.5,56.52
3.51,8.74,4.91,7.62,85.06,7.0,58.21
3.32,5.38,6.82,1.37,80.64,5.2,59.28
6.2,7.92,5.13,2.87,83.9,3.4,85.84
5.21,7.89,6.83,5.58,84.12,3.3,77.93
3.11,6.54,4.8,6.51,81.3,6.0,67.37
6.3,7.49,5.2,6.62,82.41,5.8,85.49
5.11,5.12,0.0,4.92,100.0,7.8,63.92
6.13,8.39,7.29,4.55,90.61,6.3,82.63
5.76,6.72,5.87,3.69,82.05,2.0,92.83
2.84,6.22,7.5,4.06,91.97,7.1,55.65
3.38,8.57,0.0,1.4,81.66,3.0,89.8
5.99,5.94,10.22,0.86,96.73,4.2,93.47
5.72,4.89,4.65,2.49,88.7,5.5,84.06
4.46,4.67,7.77,2.16,83.93,9.0,57.63
4.73,7.91,2.4,1.59,89.48,10.0,79.97
7.06,5.08,6.53,3.89,69.29,6.2,75.61
3.32,9.63,2.37,4.41,73.73,4.6,70.99
5.59,3.88,3.44,2.68,73.06,6.1,67.61
4.1,9.54,9.79,5.46,86.43,6.8,73.68
4.06,7.32,4.52,0.22,100.0,4.4,71.71
6.7,6.85,5.54,2.11,100.0,8.6,93.12
6.15,6.18,7.18,1.07,91.38,5.5,83.58
6.13,7.6,6.24,0.0,90.01,6.0,72.42
7.11,6.94,5.38,2.33,66.99,6.3,84.36
4.54,8.65,5.91,2.26,79.57,5.8,55.41
5.86,7.17,11.01,5.53,77.12,6.7,68.45
3.88,7.23,4.86,3.76,78.79,3.8,76.24
5.15,6.45,5.5,0.45,83.32,3.9,74.16
4.24,6.91,7.63,6.21,80.28,2.8,66.82
4.69,7.46,7.76,4.94,65.21,5.9,77.43
5.69,4.43,7.97,3.66,92.48,6.6,63.0
2.86,4.98,6.6,2.05,74.27,5.9,44.34
8.68,8.11,2.14,0.58,87.39,8.3,100.0
2.49,7.26,9.08,1.76,100.0,5.0,74.43
2.07,6.72,2.13,4.68,75.81,6.3,54.58
6.82,7.03,5.76,6.27,59.7,2.8,88.19
6.08,7.52,3.11,5.59,82.14,4.2,93.88
5.75,6.19,4.84,1.52,96.01,6.4,73.26
5.76,5.83,5.82,0.26,100.0,6.7,74.88
4.48,7.29,5.8,2.78,72.7,4.4,79.96
2.71,5.53,6.05,0.0,89.97,4.9,74.98
4.65,7.61,9.03,3.15,80.35,2.0,77.45
3.15,4.45,6.13,2.2,83.94,4.3,52.1
6.45,8.54,4.39,1.57,100.0,6.8,100.0
4.21,7.71,7.41,0.0,69.97,6.2,61.98
2.85,7.38,7.97,3.53,87.54,6.0,53.49
3.86,8.47,1.93,1.43,89.68,5.1,80.95
5.33,9.5,6.49,0.16,95.86,5.0,97.6
3.37,8.52,6.75,0.0,85.98,3.7,78.82
2.86,4.24,4.26,2.44,88.08,6.4,59.43
4.99,5.08,8.44,6.04,81.08,5.8,63.41
4.99,6.06,4.62,5.82,87.69,6.0,69.06
3.49,7.04,5.31,1.59,81.57,3.9,73.0
3.56,7.78,4.57,1.3,91.22,1.0,59.5
4.96,5.91,5.04,3.44,81.3,7.2,64.42
1.6,7.28,2.26,0.5,88.77,4.0,66.79
1.69,5.87,1.4,3.1,84.71,3.3,52.2
3.06,6.08,8.99,4.03,96.26,6.4,56.79
4.07,4.89,2.88,4.95,84.49,4.2,65.78
5.12,5.62,2.52,2.3,67.27,7.1,83.68
7.45,4.97,0.0,2.09,97.62,6.2,100.0
6.22,5.54,3.4,0.74,75.94,6.4,76.1
4.18,8.58,1.69,0.85,78.46,2.3,83.64
4.46,5.58,9.11,2.05,79.04,7.4,57.18
2.49,10.0,7.52,3.23,98.74,5.5,59.89
4.46,7.74,3.28,4.33,63.64,4.3,72.91
3.92,7.28,10.63,0.89,100.0,5.3,59.43
5.15,5.71,7.45,5.49,95.56,1.4,66.71
2.85,8.05,4.19,1.96,87.23,5.8,70.34
5.54,6.14,0.0,2.46,84.45,2.9,93.6
7.57,7.18,10.73,1.01,87.86,2.3,84.01
4.28,10.0,1.53,0.0,90.21,2.0,99.7
5.3,6.86,0.89,4.27,91.45,7.2,72.87
5.88,8.72,7.56,3.97,90.56,3.7,84.28
3.7,5.95,11.1,1.94,85.9,8.1,57.71
4.95,6.95,8.46,2.63,83.03,3.9,71.21
4.53,9.66,6.41,3.53,83.49,1.6,84.78
4.7,6.06,6.49,0.0,83.05,2.8,72.51
2.95,9.72,7.13,1.44,96.34,7.5,62.48
4.55,8.06,6.9,4.09,90.94,4.7,70.33
5.5,6.16,5.7,0.0,55.6,3.9,69.07
7.4,7.95,5.26,3.09,91.56,5.3,89.97
6.42,8.46,4.84,0.0,86.95,6.0,76.16
8.81,7.93,3.12,3.43,84.81,7.2,93.48
2.97,4.64,4.3,2.43,81.11,7.9,50.87
6.24,5.91,0.77,0.0,96.24,4.3,91.77
4.87,6.63,4.75,4.83,94.48,2.3,76.8
8.88,6.89,2.53,1.03,77.27,4.2,100.0
2.88,7.93,2.24,0.88,89.07,5.5,74.35
2.82,7.27,5.45,2.9,75.28,3.1,70.71
3.3,5.0,8.48,4.8,71.2,3.1,49.2
0.25,7.57,7.3,0.47,78.73,5.7,34.89
3.45,7.92,1.07,2.62,93.62,4.9,67.35
2.98,7.84,2.53,3.36,94.53,5.1,65.63
4.8,8.62,7.35,3.89,90.13,3.5,73.6
5.18,8.25,2.54,2.85,92.25,4.5,78.58
8.25,7.69,4.44,1.77,90.16,3.2,92.48
6.4,6.89,6.38,0.84,78.59,6.8,75.13
3.35,4.51,2.58,2.67,89.32,7.1,62.19
2.7,7.64,5.26,0.36,93.0,1.3,78.93
5.48,7.31,1.66,0.0,92.54,3.1,87.8
1.86,7.41,3.5,3.37,96.89,2.0,63.74
8.16,5.08,5.8,4.31,92.08,3.7,83.88
6.86,5.38,1.02,0.0,88.51,4.8,93.17
3.56,8.58,6.1,0.48,95.7,2.1,71.95
1.07,6.94,4.95,3.74,84.73,3.2,58.63
7.21,8.02,6.38,6.61,76.18,3.0,71.75
4.27,7.04,5.56,2.54,83.37,5.4,66.29
6.98,7.04,8.41,1.04,77.55,5.1,84.72
